Time, FSR1_Raw, FSR2_Raw, FSR3_Raw, FSR4_Raw
ACK_SYNC_LEFT
Time,FSR1_Raw,FSR2_Raw,FSR3_Raw,FSR4_Raw
22:59:15.150, 0, 0, 0, 0
22:59:15.200, 0, 0, 0, 0
22:59:15.250, 0, 0, 0, 0
22:59:15.300, 0, 0, 0, 0
22:59:15.350, 0, 0, 0, 0
22:59:15.400, 0, 0, 0, 0
22:59:15.450, 0, 0, 0, 0
22:59:15.500, 0, 0, 0, 0
22:59:15.550, 0, 0, 0, 0
22:59:15.600, 0, 0, 0, 0
22:59:15.650, 0, 0, 0, 0
22:59:15.700, 0, 0, 0, 0
22:59:15.750, 0, 0, 0, 0
22:59:15.800, 0, 0, 0, 0
22:59:15.850, 0, 0, 0, 0
22:59:15.900, 0, 0, 0, 0
22:59:15.950, 0, 0, 0, 0
22:59:16.000, 0, 0, 0, 0
22:59:16.050, 0, 0, 0, 0
22:59:16.100, 0, 0, 0, 0
22:59:16.150, 0, 0, 0, 0
22:59:16.200, 0, 0, 0, 0
22:59:16.250, 0, 0, 0, 0
22:59:16.300, 0, 0, 0, 0
22:59:16.350, 0, 0, 0, 0
22:59:16.400, 0, 0, 0, 0
22:59:16.450, 0, 0, 0, 0
22:59:16.500, 0, 0, 0, 0
22:59:16.550, 0, 0, 0, 0
22:59:16.600, 0, 0, 0, 0
22:59:16.650, 0, 0, 0, 0
22:59:16.700, 0, 0, 0, 0
22:59:16.750, 0, 0, 0, 0
22:59:16.800, 0, 0, 0, 0
22:59:16.850, 0, 0, 0, 0
22:59:16.900, 0, 0, 0, 0
22:59:16.950, 0, 0, 0, 0
22:59:17.000, 0, 0, 0, 0
22:59:17.050, 0, 0, 0, 0
22:59:17.100, 0, 0, 0, 0
22:59:17.150, 0, 0, 0, 0
22:59:17.200, 0, 0, 0, 0
22:59:17.250, 0, 0, 0, 0
22:59:17.300, 0, 0, 0, 0
22:59:17.350, 0, 0, 0, 0
22:59:17.400, 0, 0, 0, 0
22:59:17.450, 0, 0, 0, 0
22:59:17.500, 0, 0, 0, 0
22:59:17.550, 0, 0, 0, 0
22:59:17.600, 0, 0, 0, 0
22:59:17.650, 0, 0, 0, 0
22:59:17.700, 0, 0, 0, 0
22:59:17.750, 0, 0, 0, 0
22:59:17.800, 0, 0, 0, 0
22:59:17.850, 0, 0, 0, 0
22:59:17.900, 0, 0, 0, 0
22:59:17.950, 0, 0, 0, 0
22:59:18.000, 0, 0, 0, 0
22:59:18.050, 0, 0, 0, 0
22:59:18.100, 0, 0, 0, 0
22:59:18.150, 0, 0, 0, 0
22:59:18.200, 0, 0, 0, 0
22:59:18.250, 0, 0, 0, 0
22:59:18.300, 0, 0, 0, 0
22:59:18.350, 0, 0, 0, 0
22:59:18.400, 0, 0, 0, 0
22:59:18.450, 0, 0, 0, 0
22:59:18.500, 0, 0, 0, 0
22:59:18.550, 0, 0, 0, 0
22:59:18.600, 0, 0, 0, 0
22:59:18.650, 0, 0, 0, 0
22:59:18.700, 0, 0, 0, 0
22:59:18.750, 0, 0, 0, 0
22:59:18.800, 0, 0, 0, 0
22:59:18.850, 0, 0, 0, 0
22:59:18.900, 0, 0, 0, 0
22:59:18.950, 0, 0, 0, 0
22:59:19.000, 0, 0, 0, 0
22:59:19.050, 0, 0, 0, 0
22:59:19.100, 0, 0, 0, 0
22:59:19.150, 0, 0, 0, 0
22:59:19.200, 0, 0, 0, 0
22:59:19.250, 0, 0, 0, 0
22:59:19.300, 0, 0, 0, 0
22:59:19.350, 0, 0, 0, 0
22:59:19.400, 0, 0, 0, 0
22:59:19.450, 0, 0, 0, 0
22:59:19.500, 0, 0, 0, 0
22:59:19.550, 0, 0, 0, 0
22:59:19.600, 0, 0, 0, 0
22:59:19.650, 0, 0, 0, 0
22:59:19.700, 0, 0, 0, 0
22:59:19.750, 0, 0, 0, 0
22:59:19.800, 0, 0, 0, 0
22:59:19.850, 0, 0, 0, 0
22:59:19.900, 0, 0, 0, 0
22:59:19.950, 0, 0, 0, 0
22:59:20.000, 0, 0, 0, 0
22:59:20.050, 0, 0, 0, 0
22:59:20.100, 0, 0, 0, 0
22:59:20.150, 0, 0, 0, 0
22:59:20.200, 0, 0, 0, 0
22:59:20.250, 0, 0, 0, 0
22:59:20.300, 0, 0, 0, 0
22:59:20.350, 0, 0, 0, 0
22:59:20.400, 0, 0, 0, 0
22:59:20.450, 0, 0, 0, 0
22:59:20.500, 0, 0, 0, 0
22:59:20.550, 0, 0, 0, 0
22:59:20.600, 0, 0, 0, 0
22:59:20.650, 0, 0, 0, 0
22:59:20.700, 0, 0, 0, 0
22:59:20.750, 0, 0, 0, 0
22:59:20.800, 0, 0, 0, 0
