Time, FSR1_Raw, FSR2_Raw, FSR3_Raw, FSR4_Raw
ACK_SYNC_RIGHT
Time,FSR1_Raw,FSR2_Raw,FSR3_Raw,FSR4_Raw
22:58:40.601, 0, 0, 0, 0
22:58:40.650, 0, 0, 0, 0
22:58:40.700, 0, 0, 0, 0
22:58:40.750, 0, 0, 0, 0
22:58:40.800, 0, 0, 0, 0
22:58:40.850, 0, 0, 0, 0
22:58:40.900, 0, 0, 0, 0
22:58:40.950, 0, 0, 0, 0
22:58:41.000, 0, 0, 0, 0
22:58:41.050, 0, 0, 0, 0
22:58:41.100, 0, 0, 0, 0
22:58:41.150, 0, 0, 0, 0
22:58:41.200, 0, 0, 0, 0
22:58:41.250, 0, 0, 0, 0
22:58:41.300, 0, 0, 0, 0
22:58:41.350, 0, 0, 0, 0
22:58:41.400, 0, 0, 0, 0
22:58:41.450, 0, 0, 0, 0
22:58:41.500, 0, 0, 0, 0
22:58:41.550, 0, 0, 0, 0
22:58:41.600, 0, 0, 0, 0
22:58:41.650, 0, 0, 0, 0
22:58:41.700, 0, 0, 0, 0
22:58:41.750, 0, 0, 0, 0
22:58:41.800, 0, 0, 0, 0
22:58:41.850, 0, 0, 0, 0
22:58:41.900, 0, 0, 0, 0
22:58:41.950, 0, 0, 0, 0
22:58:42.000, 0, 0, 0, 0
22:58:42.050, 0, 0, 0, 0
22:58:42.100, 0, 0, 0, 0
22:58:42.150, 0, 0, 0, 0
22:58:42.200, 0, 0, 0, 0
22:58:42.250, 0, 0, 0, 0
22:58:42.300, 0, 0, 0, 0
22:58:42.350, 0, 0, 0, 0
22:58:42.400, 0, 0, 0, 0
22:58:42.450, 0, 0, 0, 0
22:58:42.500, 0, 0, 0, 0
22:58:42.550, 0, 0, 0, 0
22:58:42.600, 0, 0, 0, 0
22:58:42.650, 0, 0, 0, 0
22:58:42.700, 0, 0, 0, 0
22:58:42.750, 0, 0, 0, 0
22:58:42.800, 0, 0, 0, 0
22:58:42.850, 0, 0, 0, 0
22:58:42.900, 0, 0, 0, 0
22:58:42.950, 0, 0, 0, 0
22:58:43.000, 0, 0, 0, 0
22:58:43.050, 0, 0, 0, 0
22:58:43.100, 0, 0, 0, 0
22:58:43.150, 0, 0, 0, 0
22:58:43.200, 0, 0, 0, 0
22:58:43.250, 0, 0, 0, 0
22:58:43.300, 0, 0, 0, 0
22:58:43.350, 0, 0, 0, 0
22:58:43.400, 0, 0, 0, 0
22:58:43.450, 0, 0, 0, 0
