Time, Weight
ACK_SYNC_SINGLE
Taring... Remove any weight.
Tare complete.
16:54:35.712, -550901
16:54:35.812, -550881
16:54:35.912, -550849
16:54:36.012, -550866
16:54:36.112, -550889
16:54:36.212, -550857
16:54:36.312, -550866
16:54:36.412, -550875
16:54:36.512, -550904
16:54:36.612, -550915
16:54:36.712, -550881
16:54:36.912, -550898
16:54:37.012, -550941
16:54:37.112, -550887
16:54:37.212, -550904
16:54:37.312, -550904
16:54:37.412, -550897
16:54:37.512, -550879
16:54:37.612, -550854
16:54:37.712, -550841
16:54:37.812, -550837
16:54:37.912, -550828
16:54:38.012, -550827
16:54:38.112, -550807
16:54:38.212, -550872
16:54:38.312, -550838
16:54:38.412, -550818
16:54:38.512, -550851
16:54:38.612, -550904
16:54:38.712, -550851
16:54:38.812, -550839
16:54:38.912, -550888
16:54:39.012, -550894
16:54:39.112, -550856
16:54:39.212, -550835
16:54:39.312, -550869
16:54:39.412, -550875
16:54:39.512, -550852
16:54:39.612, -550871
16:54:39.712, -550834
16:54:39.912, -550870
16:54:40.012, -550898
16:54:40.112, -550885
16:54:40.212, -550942
16:54:40.312, -550948
16:54:40.412, -550915
16:54:40.512, -550875
16:54:40.612, -550867
16:54:40.712, -550898
16:54:40.812, -550886
16:54:40.912, -550860
16:54:41.012, -550900
16:54:41.112, -550923
16:54:41.212, -550809
16:54:41.312, -550783
16:54:41.412, -550840
16:54:41.512, -550914
16:54:41.612, -550920
16:54:41.712, -550878
16:54:41.812, -550867
16:54:41.912, -550852
16:54:42.012, -550872
16:54:42.112, -550879
16:54:42.212, -550863
16:54:42.312, -550859
16:54:42.412, -550905
16:54:42.512, -550835
16:54:42.612, -550833
16:54:42.812, -550861
16:54:42.912, -550814
16:54:43.012, -550839
16:54:43.112, -550898
16:54:43.212, -550876
16:54:43.312, -550915
16:54:43.412, -550909
16:54:43.512, -550827
16:54:43.612, -550850
16:54:43.712, -550919
16:54:43.812, -550901
16:54:43.912, -550885
16:54:44.012, -550850
16:54:44.112, -550901
16:54:44.212, -550911
16:54:44.312, -550883
16:54:44.412, -550875
16:54:44.512, -550860
16:54:44.612, -550870
16:54:44.712, -550842
16:54:44.812, -550849
16:54:44.912, -550880
16:54:45.012, -550913
16:54:45.112, -550858
16:54:45.212, -550787
16:54:45.312, -550841
16:54:45.412, -550875
16:54:45.512, -550899
16:54:45.712, -550905
16:54:45.812, -550883
16:54:45.912, -550933
16:54:46.012, -550913
16:54:46.112, -550907
16:54:46.212, -550971
16:54:46.312, -550980
16:54:46.412, -550940
16:54:46.512, -550895
16:54:46.612, -550911
16:54:46.712, -550903
16:54:46.812, -550905
16:54:46.912, -550806
16:54:47.012, -550809
16:54:47.112, -550889
16:54:47.212, -550901
16:54:47.312, -550885
16:54:47.412, -550855
16:54:47.512, -550833
16:54:47.612, -550855
16:54:47.712, -550842
16:54:47.812, -550811
16:54:47.912, -550811
16:54:48.012, -550899
16:54:48.112, -550862
16:54:48.212, -550825
16:54:48.312, -550909
16:54:48.412, -550922
16:54:48.612, -550873
16:54:48.712, -550892
16:54:48.812, -550880
16:54:48.912, -550927
16:54:49.012, -550945
16:54:49.112, -550880
16:54:49.212, -550818
16:54:49.312, -550842
16:54:49.412, -550857
16:54:49.512, -550876
16:54:49.612, -550872
16:54:49.712, -550926
16:54:49.812, -550917
16:54:49.912, -550921
16:54:50.012, -550875
16:54:50.112, -550849
16:54:50.212, -550904
16:54:50.312, -550914
16:54:50.412, -550909
16:54:50.512, -550899
16:54:50.612, -550902
16:54:50.712, -550908
16:54:50.812, -550873
16:54:50.912, -550877
16:54:51.012, -550899
16:54:51.112, -550864
16:54:51.212, -550868
16:54:51.312, -550890
16:54:51.412, -550877
16:54:51.612, -550785
16:54:51.712, -550810
16:54:51.812, -550840
16:54:51.912, -550871
16:54:52.012, -550881
16:54:52.112, -550868
16:54:52.212, -550895
16:54:52.312, -550901
16:54:52.412, -550843
16:54:52.512, -550871
16:54:52.612, -550823
16:54:52.712, -550860
16:54:52.812, -550908
16:54:52.912, -550915
16:54:53.012, -550935
16:54:53.112, -550913
16:54:53.212, -550877
16:54:53.312, -550902
16:54:53.412, -550906
16:54:53.512, -550906
16:54:53.612, -550862
16:54:53.712, -550862
16:54:53.812, -550890
16:54:53.912, -550912
16:54:54.012, -550892
16:54:54.112, -550870
16:54:54.212, -550893
16:54:54.312, -550892
16:54:54.512, -550869
16:54:54.612, -550830
16:54:54.712, -550794
16:54:54.812, -550817
16:54:54.912, -550843
16:54:55.012, -550885
16:54:55.112, -550888
16:54:55.212, -550799
16:54:55.312, -550804
16:54:55.412, -550882
16:54:55.512, -550868
16:54:55.612, -550828
16:54:55.712, -550877
16:54:55.812, -550934
16:54:55.912, -550919
16:54:56.012, -550898
16:54:56.112, -550898
16:54:56.212, -550864
16:54:56.312, -550875
16:54:56.412, -550908
16:54:56.512, -550905
16:54:56.612, -550907
16:54:56.712, -550880
16:54:56.812, -550949
16:54:56.912, -550947
16:54:57.012, -550853
16:54:57.112, -550900
16:54:57.212, -550914
16:54:57.412, -550851
16:54:57.512, -550882
16:54:57.612, -550879
16:54:57.712, -550885
16:54:57.812, -550881
16:54:57.912, -550876
16:54:58.012, -550826
16:54:58.112, -550846
16:54:58.212, -550912
16:54:58.312, -550880
16:54:58.412, -550848
16:54:58.512, -550871
16:54:58.612, -550883
16:54:58.712, -550802
